a	a	['boa', 'pea', 'sea', 'tea']
ss	ss	['amiss', 'bless', 'brass', 'class', 'cross', 'dress', 'glass', 'gloss', 'grass', 'gross', 'guess', 'press']
ts	st	['beast', 'burst', 'chest', 'crest', 'crust', 'first', 'frost', 'ghost', 'least', 'midst', 'moist', 'quest', 'toast', 'trust', 'twist', 'waist', 'worst', 'wrist']
dets	sted	['consisted', 'intrusted', 'protested', 'requested', 'suggested']
t	t	['act', 'apt', 'art', 'bet', 'bit', 'but', 'cat', 'cut', 'eat', 'est', 'fat', 'fit', 'get', 'got', 'hat', 'hit', 'hot', 'jet', 'jot', 'let', 'lit', 'lot', 'mat', 'met', 'net', 'not', 'nut', 'out', 'pet', 'pit', 'put', 'rat', 'sat', 'set', 'sit', 'tut', 'wet', 'wit', 'yet']
et	te	['acute', 'brute', 'carte', 'crate', 'grate', 'haste', 'plate', 'quite', 'quote', 'slate', 'spite', 'state', 'suite', 'taste', 'trite', 'waste', 'white', 'write', 'wrote']
det	ted	['abutted', 'adapted', 'adopted', 'averted', 'awaited', 'belated', 'blasted', 'blotted', 'chatted', 'created', 'crusted', 'devoted', 'doubted', 'drifted', 'ejected', 'erected', 'exacted', 'exalted', 'excited', 'fainted', 'flitted', 'frosted', 'granted', 'hearted', 'invited', 'knitted', 'lighted', 'limited', 'painted', 'planted', 'pointed', 'printed', 'quitted', 'riveted', 'saluted', 'shouted', 'spotted', 'started', 'tempted', 'treated', 'trusted', 'twisted', 'undated', 'visited']
net	ten	['glisten', 'lighten', 'written']
ret	ter	['bluster', 'chapter', 'clatter', 'cluster', 'flatter', 'gaunter', 'glitter', 'greater', 'lighter', 'lobster', 'planter', 'plaster', 'quarter', 'shelter', 'shorter', 'shutter', 'smarter', 'twitter']
set	tes	['estates', 'incites', 'minutes', 'pirates']
ht	th	['berth', 'cloth', 'death', 'earth', 'faith', 'fifth', 'forth', 'month', 'mouth', 'north', 'south', 'teeth', 'tooth', 'truth', 'worth', 'youth']
reht	ther	[]
gnit	ting	['affecting', 'arresting', 'assisting', 'commuting', 'deserting', 'digesting', 'docketing', 'expecting', 'reporting', 'secreting', 'thrusting']
noit	tion	['affection', 'agitation', 'assertion', 'attention', 'condition', 'deception', 'deduction', 'direction', 'education', 'exception', 'execution', 'inception', 'intention', 'intuition', 'invention', 'isolation', 'objection', 'operation', 'reception', 'selection', 'sensation', 'situation']
snoit	tions	['alterations', 'attractions', 'contortions', 'conventions', 'generations', 'indications', 'obligations', 'occupations', 'precautions', 'regulations', 'resolutions']
evit	tive	['adjective', 'deceptive', 'deductive', 'detective', 'effective', 'lucrative', 'narrative', 'secretive', 'sensitive']
ylt	tly	['exactly', 'faintly', 'ghastly', 'quietly', 'rightly', 'shortly', 'stoutly', 'sweetly', 'swiftly', 'tightly']
st	ts	['baits', 'boots', 'carts', 'debts', 'facts', 'fists', 'forts', 'hurts', 'knots', 'meets', 'parts', 'rests', 'rifts', 'roots', 'seats', 'shots', 'slits', 'spots', 'suits', 'tents', 'wants']
erut	ture	['adventure', 'departure', 'furniture', 'miniature', 'premature', 'signature']
yt	ty	['dirty', 'dusty', 'empty', 'fifty', 'forty', 'party', 'pasty', 'petty', 'putty', 'rusty', 'sixty']
eu	ue	['argue', 'ensue', 'issue', 'rogue', 'undue', 'vague', 'value']
lu	ul	['awful']
ru	ur	['coeur', 'occur', 'odour']
eru	ure	['capture', 'feature', 'gesture', 'lecture', 'measure', 'mixture', 'picture', 'texture', 'venture']
deru	ured	[]
su	us	['focus', 'locus']
ev	ve	['above', 'alive', 'brave', 'curve', 'drive', 'drove', 'glove', 'grave', 'grove', 'leave', 'nerve', 'prove', 'serve', 'shave', 'slave', 'solve', 'trove', 'weave']
dev	ved	['arrived', 'beloved', 'derived', 'evolved', 'grieved', 'removed']
rev	ver	['cleaver', 'forever', 'however', 'recover', 'whoever']
sev	ves	['derives', 'motives', 'shelves', 'sleeves', 'thieves', 'wharves']
gniv	ving	['believing', 'improving', 'observing', 'receiving']
w	w	['bow', 'dew', 'few', 'how', 'jaw', 'law', 'low', 'new', 'now', 'pew', 'row', 'saw']
sw	ws	['blows', 'brows', 'claws', 'draws', 'knows', 'shows', 'views']
x	x	['box', 'fix', 'sex', 'six', 'tax', 'vex', 'wax']
y	y	['any', 'boy', 'buy', 'cry', 'day', 'dry', 'fly', 'joy', 'key', 'lay', 'may', 'pay', 'ray', 'say', 'shy', 'sky', 'sly', 'toy', 'try', 'way', 'why']
gniy	ying	['betraying', 'employing']
